,0,1
0,112,210
1,269,273
2,115,215
3,363,466
4,374,475
5,528,533
6,8,9
7,385,484
8,185,279
9,11,14
10,590,593
11,396,499
12,407,508
13,480,578
14,332,334
15,5,204
16,365,367
17,49,247
18,316,511
19,481,578
20,420,568
21,107,108
22,99,104
23,71,271
24,358,364
25,330,531
26,341,540
27,268,290
28,140,141
29,39,238
30,399,401
31,342,541
32,355,560
33,475,476
34,173,174
35,72,271
36,396,597
37,375,574
38,378,579
39,33,136
40,12,113
41,44,145
42,177,180
43,384,479
44,356,560
45,389,594
46,314,414
47,1,103
48,188,195
49,498,500
50,336,438
51,542,543
52,261,264
53,99,202
54,78,179
55,273,274
56,111,212
57,8,205
58,306,307
59,322,517
60,435,537
61,91,95
62,34,235
63,188,293
64,180,289
65,45,244
66,498,598
67,477,575
68,308,474
69,87,97
70,97,290
71,318,524
72,329,533
73,369,569
74,400,593
75,168,170
76,79,278
77,139,143
78,370,570
79,82,283
80,471,473
81,36,136
82,7,109
83,306,405
84,59,156
85,384,590
86,350,448
87,40,142
88,339,438
89,505,507
90,383,481
91,9,11
92,1,299
93,81,179
94,73,175
95,361,462
96,366,577
97,364,467
98,538,540
99,570,572
100,143,239
101,103,203
102,42,44
103,106,208
104,373,472
105,158,255
106,312,313
107,571,573
108,449,547
109,2,7
110,128,232
111,387,492
112,313,314
113,345,346
114,585,593
115,450,548
116,43,44
117,442,544
118,18,216
119,346,347
120,318,514
121,184,285
122,472,572
123,40,240
124,173,275
125,379,380
126,310,509
127,457,564
128,74,274
129,312,411
130,357,562
131,10,109
132,388,586
133,208,210
134,467,470
135,25,125
136,398,599
137,84,180
138,65,166
139,47,148
140,379,478
141,533,536
142,544,545
143,98,199
144,77,176
145,275,277
146,121,219
147,153,251
148,526,533
149,412,511
150,110,209
151,49,50
152,445,544
153,143,242
154,341,343
155,179,281
156,305,506
157,449,550
158,3,204
159,83,84
160,456,558
161,427,531
162,338,539
163,317,516
164,72,74
165,105,108
166,36,237
167,88,284
168,390,585
169,149,150
170,80,279
171,328,530
172,339,539
173,5,105
174,17,116
175,49,148
176,316,412
177,6,106
178,485,486
179,376,579
180,90,185
181,204,207
182,495,499
183,394,596
184,506,508
185,539,542
186,75,178
187,507,509
188,345,447
189,385,483
190,135,228
191,375,475
192,430,527
193,97,201
194,138,239
195,149,248
196,400,504
197,573,575
198,37,43
199,473,573
200,78,80
201,183,282
202,309,507
203,21,220
204,312,512
205,466,570
206,31,233
207,111,113
208,54,253
209,381,382
210,414,416
211,313,513
212,378,578
213,335,536
214,342,432
215,1,102
216,326,424
217,188,194
218,13,113
219,16,118
220,210,212
221,67,169
222,46,146
223,5,108
224,78,178
225,337,438
226,382,589
227,502,505
228,348,447
229,340,443
230,79,179
231,362,467
232,381,480
233,7,10
234,152,248
235,112,212
236,123,221
237,115,217
238,425,528
239,343,346
240,138,242
241,304,503
242,469,570
243,307,508
244,46,244
245,97,289
246,49,249
247,481,580
248,340,541
249,136,137
250,50,250
251,439,440
252,370,569
253,349,546
254,341,542
255,442,445
256,169,170
257,60,263
258,352,551
259,39,240
260,172,175
261,399,403
262,366,455
263,151,152
264,431,435
265,75,279
266,363,566
267,202,203
268,385,584
269,19,118
270,11,114
271,351,448
272,2,294
273,343,444
274,487,488
275,41,142
276,86,293
277,206,209
278,104,198
279,355,454
280,520,521
281,85,184
282,239,242
283,272,276
284,571,572
285,118,217
286,284,286
287,140,241
288,111,214
289,184,284
290,410,510
291,317,319
292,484,581
293,69,73
294,41,240
295,174,275
296,80,82
297,401,403
298,12,213
299,177,280
300,23,222
301,372,376
302,303,505
303,383,385
304,45,246
305,304,506
306,78,279
307,89,288
308,337,539
309,209,210
310,14,114
311,370,572
312,36,138
313,55,151
314,242,243
315,501,503
316,211,255
317,77,175
318,223,229
319,69,171
320,380,478
321,420,514
322,399,491
323,383,483
324,264,266
325,81,181
326,227,235
327,567,569
328,51,158
329,416,516
330,268,272
331,187,284
332,39,40
333,417,517
334,147,247
335,54,56
336,479,577
337,345,348
338,471,573
339,450,550
340,59,256
341,51,135
342,76,79
343,48,246
344,408,409
345,153,155
346,441,442
347,6,105
348,384,582
349,21,121
350,463,466
351,85,285
352,373,572
353,479,590
354,312,413
355,466,471
356,353,450
357,313,414
358,507,508
359,324,423
360,238,240
361,529,532
362,12,13
363,76,177
364,308,420
365,368,471
366,387,484
367,379,480
368,150,248
369,142,244
370,307,311
371,153,253
372,412,513
373,423,522
374,38,43
375,329,335
376,21,219
377,154,254
378,340,344
379,445,546
380,164,267
381,341,345
382,414,415
383,352,354
384,84,280
385,403,405
386,447,448
387,317,518
388,145,146
389,36,239
390,55,252
391,88,286
392,319,527
393,379,578
394,480,481
395,80,281
396,482,590
397,46,145
398,5,107
399,383,584
400,28,127
401,319,419
402,400,493
403,6,108
404,371,466
405,244,245
406,341,443
407,352,452
408,60,164
409,39,141
410,245,246
411,277,278
