,phenotype
0,type1
1,type1
2,type1
3,type1
4,type1
5,type1
6,type1
7,type1
8,type1
9,type1
10,type1
11,type1
12,type1
13,type1
14,type1
15,type1
16,type1
17,type1
18,type1
19,type1
20,type1
21,type1
22,type1
23,type1
24,type1
25,type1
26,type1
27,type1
28,type1
29,type1
30,type1
31,type1
32,type1
33,type1
34,type1
35,type1
36,type1
37,type1
38,type1
39,type1
40,type1
41,type1
42,type1
43,type1
44,type1
45,type1
46,type1
47,type1
48,type1
49,type1
50,type1
51,type1
52,type1
53,type1
54,type1
55,type1
56,type1
57,type1
58,type1
59,type1
60,type1
61,type1
62,type1
63,type1
64,type1
65,type1
66,type1
67,type1
68,type1
69,type1
70,type1
71,type1
72,type1
73,type1
74,type1
75,type1
76,type1
77,type1
78,type1
79,type1
80,type1
81,type1
82,type1
83,type1
84,type1
85,type1
86,type1
87,type1
88,type1
89,type1
90,type1
91,type1
92,type1
93,type1
94,type1
95,type1
96,type1
97,type1
98,type1
99,type1
100,type2
101,type2
102,type2
103,type2
104,type2
105,type2
106,type2
107,type2
108,type2
109,type2
110,type2
111,type2
112,type2
113,type2
114,type2
115,type2
116,type2
117,type2
118,type2
119,type2
120,type2
121,type2
122,type2
123,type2
124,type2
125,type2
126,type2
127,type2
128,type2
129,type2
130,type2
131,type2
132,type2
133,type2
134,type2
135,type2
136,type2
137,type2
138,type2
139,type2
140,type2
141,type2
142,type2
143,type2
144,type2
145,type2
146,type2
147,type2
148,type2
149,type2
150,type2
151,type2
152,type2
153,type2
154,type2
155,type2
156,type2
157,type2
158,type2
159,type2
160,type2
161,type2
162,type2
163,type2
164,type2
165,type2
166,type2
167,type2
168,type2
169,type2
170,type2
171,type2
172,type2
173,type2
174,type2
175,type2
176,type2
177,type2
178,type2
179,type2
180,type2
181,type2
182,type2
183,type2
184,type2
185,type2
186,type2
187,type2
188,type2
189,type2
190,type2
191,type2
192,type2
193,type2
194,type2
195,type2
196,type2
197,type2
198,type2
199,type2
200,type3
201,type3
202,type3
203,type3
204,type3
205,type3
206,type3
207,type3
208,type3
209,type3
210,type3
211,type3
212,type3
213,type3
214,type3
215,type3
216,type3
217,type3
218,type3
219,type3
220,type3
221,type3
222,type3
223,type3
224,type3
225,type3
226,type3
227,type3
228,type3
229,type3
230,type3
231,type3
232,type3
233,type3
234,type3
235,type3
236,type3
237,type3
238,type3
239,type3
240,type3
241,type3
242,type3
243,type3
244,type3
245,type3
246,type3
247,type3
248,type3
249,type3
250,type3
251,type3
252,type3
253,type3
254,type3
255,type3
256,type3
257,type3
258,type3
259,type3
260,type3
261,type3
262,type3
263,type3
264,type3
265,type3
266,type3
267,type3
268,type3
269,type3
270,type3
271,type3
272,type3
273,type3
274,type3
275,type3
276,type3
277,type3
278,type3
279,type3
280,type3
281,type3
282,type3
283,type3
284,type3
285,type3
286,type3
287,type3
288,type3
289,type3
290,type3
291,type3
292,type3
293,type3
294,type3
295,type3
296,type3
297,type3
298,type3
299,type3
300,type4
301,type4
302,type4
303,type4
304,type4
305,type4
306,type4
307,type4
308,type4
309,type4
310,type4
311,type4
312,type4
313,type4
314,type4
315,type4
316,type4
317,type4
318,type4
319,type4
320,type4
321,type4
322,type4
323,type4
324,type4
325,type4
326,type4
327,type4
328,type4
329,type4
330,type4
331,type4
332,type4
333,type4
334,type4
335,type4
336,type4
337,type4
338,type4
339,type4
340,type4
341,type4
342,type4
343,type4
344,type4
345,type4
346,type4
347,type4
348,type4
349,type4
350,type4
351,type4
352,type4
353,type4
354,type4
355,type4
356,type4
357,type4
358,type4
359,type4
360,type4
361,type4
362,type4
363,type4
364,type4
365,type4
366,type4
367,type4
368,type4
369,type4
370,type4
371,type4
372,type4
373,type4
374,type4
375,type4
376,type4
377,type4
378,type4
379,type4
380,type4
381,type4
382,type4
383,type4
384,type4
385,type4
386,type4
387,type4
388,type4
389,type4
390,type4
391,type4
392,type4
393,type4
394,type4
395,type4
396,type4
397,type4
398,type4
399,type4
400,type5
401,type5
402,type5
403,type5
404,type5
405,type5
406,type5
407,type5
408,type5
409,type5
410,type5
411,type5
412,type5
413,type5
414,type5
415,type5
416,type5
417,type5
418,type5
419,type5
420,type5
421,type5
422,type5
423,type5
424,type5
425,type5
426,type5
427,type5
428,type5
429,type5
430,type5
431,type5
432,type5
433,type5
434,type5
435,type5
436,type5
437,type5
438,type5
439,type5
440,type5
441,type5
442,type5
443,type5
444,type5
445,type5
446,type5
447,type5
448,type5
449,type5
450,type5
451,type5
452,type5
453,type5
454,type5
455,type5
456,type5
457,type5
458,type5
459,type5
460,type5
461,type5
462,type5
463,type5
464,type5
465,type5
466,type5
467,type5
468,type5
469,type5
470,type5
471,type5
472,type5
473,type5
474,type5
475,type5
476,type5
477,type5
478,type5
479,type5
480,type5
481,type5
482,type5
483,type5
484,type5
485,type5
486,type5
487,type5
488,type5
489,type5
490,type5
491,type5
492,type5
493,type5
494,type5
495,type5
496,type5
497,type5
498,type5
499,type5
500,type6
501,type6
502,type6
503,type6
504,type6
505,type6
506,type6
507,type6
508,type6
509,type6
510,type6
511,type6
512,type6
513,type6
514,type6
515,type6
516,type6
517,type6
518,type6
519,type6
520,type6
521,type6
522,type6
523,type6
524,type6
525,type6
526,type6
527,type6
528,type6
529,type6
530,type6
531,type6
532,type6
533,type6
534,type6
535,type6
536,type6
537,type6
538,type6
539,type6
540,type6
541,type6
542,type6
543,type6
544,type6
545,type6
546,type6
547,type6
548,type6
549,type6
550,type6
551,type6
552,type6
553,type6
554,type6
555,type6
556,type6
557,type6
558,type6
559,type6
560,type6
561,type6
562,type6
563,type6
564,type6
565,type6
566,type6
567,type6
568,type6
569,type6
570,type6
571,type6
572,type6
573,type6
574,type6
575,type6
576,type6
577,type6
578,type6
579,type6
580,type6
581,type6
582,type6
583,type6
584,type6
585,type6
586,type6
587,type6
588,type6
589,type6
590,type6
591,type6
592,type6
593,type6
594,type6
595,type6
596,type6
597,type6
598,type6
599,type6
