,phenotype
0,type1
1,type1
2,type1
3,type1
4,type1
5,type1
6,type1
7,type1
8,type1
9,type1
10,type1
11,type1
12,type1
13,type1
14,type1
15,type1
16,type1
17,type1
18,type1
19,type1
20,type1
21,type1
22,type1
23,type1
24,type1
25,type1
26,type1
27,type1
28,type1
29,type1
30,type1
31,type1
32,type1
33,type1
34,type1
35,type1
36,type1
37,type1
38,type1
39,type1
40,type1
41,type1
42,type1
43,type1
44,type1
45,type1
46,type1
47,type1
48,type1
49,type1
50,type1
51,type1
52,type1
53,type1
54,type1
55,type1
56,type1
57,type1
58,type1
59,type1
60,type1
61,type1
62,type1
63,type1
64,type1
65,type1
66,type1
67,type1
68,type1
69,type1
70,type1
71,type1
72,type1
73,type1
74,type1
75,type1
76,type1
77,type1
78,type1
79,type1
80,type1
81,type1
82,type1
83,type1
84,type1
85,type1
86,type1
87,type1
88,type1
89,type1
90,type1
91,type1
92,type1
93,type1
94,type1
95,type1
96,type1
97,type1
98,type1
99,type1
100,type1
101,type1
102,type1
103,type1
104,type1
105,type1
106,type1
107,type1
108,type1
109,type1
110,type1
111,type1
112,type1
113,type1
114,type1
115,type1
116,type1
117,type1
118,type1
119,type1
120,type1
121,type1
122,type1
123,type1
124,type1
125,type1
126,type1
127,type1
128,type1
129,type1
130,type1
131,type1
132,type1
133,type1
134,type1
135,type1
136,type1
137,type1
138,type1
139,type1
140,type1
141,type1
142,type1
143,type1
144,type1
145,type1
146,type1
147,type1
148,type1
149,type1
150,type1
151,type1
152,type1
153,type1
154,type1
155,type1
156,type1
157,type1
158,type1
159,type1
160,type1
161,type1
162,type1
163,type1
164,type1
165,type1
166,type1
167,type1
168,type1
169,type1
170,type1
171,type1
172,type1
173,type1
174,type1
175,type1
176,type1
177,type1
178,type1
179,type1
180,type1
181,type1
182,type1
183,type1
184,type1
185,type1
186,type1
187,type1
188,type1
189,type1
190,type1
191,type1
192,type1
193,type1
194,type1
195,type1
196,type1
197,type1
198,type1
199,type1
200,type1
201,type1
202,type1
203,type1
204,type1
205,type1
206,type1
207,type1
208,type1
209,type1
210,type1
211,type1
212,type1
213,type1
214,type1
215,type1
216,type1
217,type1
218,type1
219,type1
220,type1
221,type1
222,type1
223,type1
224,type1
225,type1
226,type1
227,type1
228,type1
229,type1
230,type1
231,type1
232,type1
233,type1
234,type1
235,type1
236,type1
237,type1
238,type1
239,type1
240,type1
241,type1
242,type1
243,type1
244,type1
245,type1
246,type1
247,type1
248,type1
249,type1
250,type1
251,type1
252,type1
253,type1
254,type1
255,type1
256,type1
257,type1
258,type1
259,type1
260,type1
261,type1
262,type1
263,type1
264,type1
265,type1
266,type1
267,type1
268,type1
269,type1
270,type1
271,type1
272,type1
273,type1
274,type1
275,type1
276,type1
277,type1
278,type1
279,type1
280,type1
281,type1
282,type1
283,type1
284,type1
285,type1
286,type1
287,type1
288,type1
289,type1
290,type1
291,type1
292,type1
293,type1
294,type1
295,type1
296,type1
297,type1
298,type1
299,type1
300,type1
301,type1
302,type1
303,type1
304,type1
305,type1
306,type1
307,type1
308,type1
309,type1
310,type1
311,type1
312,type1
313,type1
314,type1
315,type1
316,type1
317,type1
318,type1
319,type1
320,type1
321,type1
322,type1
323,type1
324,type1
325,type1
326,type1
327,type1
328,type1
329,type1
330,type1
331,type1
332,type1
333,type1
334,type1
335,type1
336,type1
337,type1
338,type1
339,type1
340,type1
341,type1
342,type1
343,type1
344,type1
345,type1
346,type1
347,type1
348,type1
349,type1
350,type1
351,type1
352,type1
353,type1
354,type1
355,type1
356,type1
357,type1
358,type1
359,type1
360,type1
361,type1
362,type1
363,type1
364,type1
365,type1
366,type1
367,type1
368,type1
369,type1
370,type1
371,type1
372,type1
373,type1
374,type1
375,type1
376,type1
377,type1
378,type1
379,type1
380,type1
381,type1
382,type1
383,type1
384,type1
385,type1
386,type1
387,type1
388,type1
389,type1
390,type1
391,type1
392,type1
393,type1
394,type1
395,type1
396,type1
397,type1
398,type1
399,type1
400,type1
401,type1
402,type1
403,type1
404,type1
405,type1
406,type1
407,type1
408,type1
409,type1
410,type1
411,type1
412,type1
413,type1
414,type1
415,type1
416,type1
417,type1
418,type1
419,type1
420,type1
421,type1
422,type1
423,type1
424,type1
425,type1
426,type1
427,type1
428,type1
429,type1
430,type1
431,type1
432,type1
433,type1
434,type1
435,type1
436,type1
437,type1
438,type1
439,type1
440,type1
441,type1
442,type1
443,type1
444,type1
445,type1
446,type1
447,type1
448,type1
449,type1
450,type1
451,type1
452,type1
453,type1
454,type1
455,type1
456,type1
457,type1
458,type1
459,type1
460,type1
461,type1
462,type1
463,type1
464,type1
465,type1
466,type1
467,type1
468,type1
469,type1
470,type1
471,type1
472,type1
473,type1
474,type1
475,type1
476,type1
477,type1
478,type1
479,type1
480,type1
481,type1
482,type1
483,type1
484,type1
485,type1
486,type1
487,type1
488,type1
489,type1
490,type1
491,type1
492,type1
493,type1
494,type1
495,type1
496,type1
497,type1
498,type1
499,type1
500,type2
501,type2
502,type2
503,type2
504,type1
505,type1
506,type1
507,type1
508,type2
509,type2
510,type2
511,type2
512,type2
513,type2
514,type2
515,type1
516,type2
517,type1
518,type1
519,type1
520,type1
521,type1
522,type1
523,type1
524,type1
525,type1
526,type2
527,type2
528,type1
529,type1
530,type2
531,type1
532,type2
533,type2
534,type2
535,type2
536,type1
537,type2
538,type1
539,type2
540,type2
541,type2
542,type1
543,type2
544,type1
545,type1
546,type1
547,type1
548,type2
549,type2
550,type1
551,type2
552,type1
553,type2
554,type2
555,type2
556,type1
557,type2
558,type1
559,type2
560,type2
561,type1
562,type2
563,type2
564,type2
565,type2
566,type1
567,type1
568,type1
569,type1
570,type1
571,type2
572,type2
573,type2
574,type1
575,type1
576,type1
577,type1
578,type1
579,type1
580,type1
581,type1
582,type2
583,type1
584,type2
585,type2
586,type2
587,type1
588,type1
589,type1
590,type2
591,type2
592,type1
593,type2
594,type2
595,type2
596,type1
597,type1
598,type1
599,type1
600,type2
601,type2
602,type1
603,type1
604,type2
605,type2
606,type1
607,type2
608,type2
609,type2
610,type1
611,type1
612,type1
613,type2
614,type1
615,type1
616,type2
617,type1
618,type1
619,type2
620,type1
621,type2
622,type1
623,type2
624,type1
625,type1
626,type2
627,type1
628,type1
629,type1
630,type1
631,type2
632,type2
633,type2
634,type2
635,type1
636,type2
637,type1
638,type1
639,type1
640,type2
641,type2
642,type2
643,type1
644,type2
645,type1
646,type1
647,type1
648,type1
649,type1
650,type2
651,type1
652,type2
653,type1
654,type1
655,type2
656,type1
657,type2
658,type1
659,type1
660,type1
661,type1
662,type1
663,type1
664,type2
665,type2
666,type2
667,type2
668,type2
669,type2
670,type2
671,type1
672,type1
673,type2
674,type2
675,type2
676,type1
677,type2
678,type2
679,type2
680,type1
681,type2
682,type2
683,type2
684,type2
685,type1
686,type1
687,type1
688,type2
689,type2
690,type2
691,type1
692,type2
693,type1
694,type2
695,type1
696,type1
697,type1
698,type2
699,type1
700,type1
701,type1
