	label
0	2
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	9
15	9
16	9
17	2
18	9
19	9
20	9
21	9
22	9
23	9
24	9
25	9
26	3
27	3
28	3
29	3
30	3
31	3
32	3
33	3
34	3
35	3
36	3
37	3
38	3
39	3
40	3
41	3
42	3
43	3
44	3
45	3
46	3
47	3
48	3
49	3
50	3
51	6
52	6
53	6
54	6
55	6
56	6
57	6
58	6
59	6
60	6
61	6
62	6
63	6
64	6
65	1
66	1
67	1
68	1
69	1
70	1
71	1
72	1
73	1
74	1
75	1
76	1
77	1
78	1
79	1
80	1
81	1
82	1
83	1
84	1
85	1
86	1
87	2
88	1
89	1
90	1
91	1
92	1
93	1
94	1
95	2
96	2
97	2
98	2
99	2
100	2
101	2
102	2
103	2
104	2
105	2
106	2
107	2
108	2
109	2
110	2
111	2
112	2
113	2
114	9
115	9
116	2
117	9
118	9
119	9
120	9
121	9
122	9
123	9
124	3
125	9
126	3
127	9
128	9
129	3
130	6
131	3
132	3
133	3
134	3
135	9
136	3
137	3
138	3
139	3
140	3
141	3
142	3
143	3
144	3
145	3
146	3
147	3
148	3
149	6
150	6
151	6
152	6
153	6
154	6
155	6
156	6
157	6
158	6
159	6
160	6
161	6
162	6
163	6
164	1
165	1
166	1
167	1
168	1
169	1
170	1
171	1
172	1
173	1
174	1
175	1
176	1
177	1
178	1
179	1
180	1
181	1
182	2
183	1
184	1
185	1
186	1
187	1
188	1
189	1
190	1
191	1
192	1
193	1
194	2
195	2
196	2
197	2
198	2
199	2
200	2
201	2
202	2
203	2
204	2
205	2
206	2
207	2
208	2
209	2
210	2
211	2
212	2
213	2
214	2
215	9
216	2
217	9
218	9
219	9
220	9
221	9
222	9
223	9
224	9
225	9
226	9
227	3
228	9
229	9
230	3
231	3
232	3
233	3
234	3
235	3
236	3
237	3
238	3
239	3
240	3
241	3
242	3
243	6
244	3
245	3
246	3
247	3
248	6
249	3
250	3
251	3
252	6
253	6
254	6
255	2
256	6
257	6
258	6
259	6
260	6
261	6
262	6
263	6
264	1
265	1
266	1
267	1
268	2
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	2
290	2
291	1
292	1
293	2
294	2
295	2
296	2
297	2
298	2
299	2
300	4
301	4
302	4
303	4
304	4
305	4
306	4
307	4
308	4
309	4
310	4
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	7
342	0
343	7
344	0
345	7
346	7
347	7
348	7
349	7
350	7
351	7
352	7
353	7
354	7
355	7
356	7
357	7
358	4
359	5
360	5
361	5
362	5
363	5
364	5
365	5
366	5
367	5
368	5
369	5
370	5
371	5
372	5
373	5
374	5
375	5
376	5
377	8
378	8
379	8
380	8
381	8
382	8
383	8
384	4
385	8
386	8
387	8
388	8
389	5
390	4
391	8
392	8
393	8
394	8
395	4
396	4
397	4
398	4
399	4
400	4
401	4
402	4
403	4
404	4
405	4
406	4
407	4
408	4
409	4
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	4
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	7
442	7
443	7
444	7
445	7
446	7
447	7
448	7
449	7
450	7
451	7
452	7
453	4
454	4
455	4
456	7
457	4
458	5
459	5
460	5
461	5
462	5
463	5
464	5
465	5
466	5
467	5
468	5
469	5
470	5
471	5
472	5
473	5
474	4
475	8
476	8
477	8
478	8
479	5
480	8
481	8
482	5
483	8
484	8
485	8
486	8
487	8
488	8
489	8
490	8
491	8
492	5
493	4
494	8
495	4
496	4
497	4
498	4
499	4
500	4
501	4
502	4
503	4
504	4
505	4
506	4
507	4
508	4
509	4
510	0
511	0
512	0
513	0
514	4
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	7
543	7
544	7
545	7
546	7
547	7
548	7
549	4
550	7
551	7
552	7
553	7
554	7
555	7
556	7
557	4
558	5
559	5
560	5
561	5
562	5
563	5
564	5
565	5
566	5
567	5
568	4
569	5
570	5
571	5
572	5
573	5
574	5
575	5
576	8
577	5
578	8
579	5
580	8
581	8
582	4
583	5
584	8
585	4
586	8
587	5
588	8
589	8
590	4
591	8
592	4
593	4
594	4
595	8
596	8
597	4
598	4
599	4
