	label
0	6
1	2
2	2
3	1
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	6
13	6
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	6
29	6
30	2
31	2
32	1
33	2
34	2
35	2
36	2
37	2
38	2
39	2
40	1
41	2
42	2
43	2
44	2
45	1
46	8
47	2
48	2
49	2
50	2
51	2
52	2
53	2
54	2
55	2
56	1
57	2
58	2
59	6
60	2
61	2
62	2
63	2
64	2
65	1
66	2
67	6
68	2
69	2
70	2
71	1
72	2
73	2
74	2
75	6
76	2
77	2
78	2
79	2
80	2
81	2
82	1
83	8
84	2
85	2
86	2
87	1
88	2
89	6
90	2
91	2
92	8
93	2
94	2
95	2
96	2
97	1
98	8
99	6
100	6
101	6
102	6
103	6
104	6
105	6
106	6
107	8
108	6
109	6
110	6
111	6
112	6
113	6
114	6
115	6
116	6
117	6
118	6
119	6
120	6
121	6
122	8
123	6
124	6
125	8
126	6
127	7
128	7
129	7
130	6
131	6
132	6
133	6
134	8
135	6
136	8
137	6
138	6
139	6
140	6
141	8
142	6
143	7
144	7
145	6
146	6
147	8
148	6
149	7
150	7
151	7
152	6
153	6
154	6
155	7
156	6
157	8
158	6
159	6
160	6
161	8
162	7
163	7
164	6
165	6
166	6
167	6
168	6
169	7
170	7
171	7
172	7
173	7
174	6
175	6
176	6
177	7
178	6
179	6
180	7
181	6
182	6
183	6
184	6
185	8
186	8
187	6
188	8
189	6
190	6
191	8
192	6
193	7
194	8
195	8
196	6
197	6
198	6
199	6
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	8
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	8
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	8
296	1
297	1
298	1
299	1
300	5
301	3
302	3
303	3
304	0
305	5
306	0
307	3
308	3
309	3
310	0
311	3
312	5
313	5
314	3
315	3
316	3
317	3
318	3
319	0
320	3
321	3
322	5
323	3
324	2
325	5
326	0
327	5
328	0
329	3
330	3
331	2
332	3
333	3
334	5
335	3
336	3
337	0
338	3
339	3
340	3
341	2
342	2
343	3
344	3
345	3
346	0
347	5
348	3
349	0
350	3
351	3
352	3
353	5
354	3
355	3
356	0
357	3
358	2
359	0
360	3
361	3
362	3
363	0
364	5
365	0
366	3
367	3
368	3
369	0
370	3
371	0
372	0
373	3
374	3
375	3
376	3
377	3
378	3
379	3
380	3
381	3
382	3
383	0
384	5
385	0
386	3
387	0
388	5
389	3
390	4
391	3
392	3
393	3
394	3
395	0
396	0
397	3
398	5
399	3
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	5
413	0
414	0
415	5
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	5
430	5
431	0
432	0
433	0
434	0
435	5
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	5
452	0
453	0
454	0
455	0
456	0
457	5
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	5
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	5
487	0
488	0
489	5
490	0
491	0
492	0
493	5
494	0
495	0
496	0
497	0
498	5
499	0
500	4
501	4
502	4
503	4
504	4
505	4
506	4
507	4
508	4
509	5
510	4
511	4
512	5
513	5
514	4
515	5
516	4
517	4
518	5
519	4
520	4
521	4
522	5
523	4
524	4
525	4
526	4
527	5
528	4
529	4
530	5
531	4
532	4
533	4
534	5
535	4
536	4
537	4
538	4
539	4
540	4
541	4
542	4
543	4
544	4
545	4
546	4
547	5
548	4
549	4
550	4
551	5
552	4
553	5
554	4
555	4
556	4
557	5
558	4
559	4
560	4
561	4
562	4
563	4
564	4
565	4
566	4
567	4
568	4
569	4
570	4
571	4
572	4
573	4
574	4
575	4
576	4
577	4
578	4
579	4
580	4
581	4
582	4
583	4
584	4
585	4
586	5
587	4
588	4
589	5
590	4
591	4
592	4
593	4
594	5
595	4
596	4
597	5
598	5
599	5
