X;Y;Z;FileName
165;979;9;reg001
219;859;7;reg001
328;1105;7;reg001
422;120;7;reg001
415;870;8;reg001
497;778;7;reg001
508;802;8;reg001
583;872;8;reg001
643;260;6;reg001
688;209;7;reg001
814;950;9;reg001
897;30;8;reg001
898;649;7;reg001
903;815;8;reg001
992;1061;8;reg001
1005;972;9;reg001
1012;773;6;reg001
1024;896;7;reg001
1214;1386;9;reg001
1236;1189;7;reg001
1267;781;6;reg001
1615;816;9;reg001
1645;816;6;reg001
157;609;7;reg002
745;49;7;reg002
858;481;6;reg002
965;884;8;reg002
1166;531;6;reg002
1192;484;7;reg002
1238;582;8;reg002
1362;691;6;reg002
1481;982;8;reg002
1561;1111;8;reg002
1767;858;8;reg002
429;269;8;reg006
500;371;6;reg006
557;205;7;reg006
592;352;8;reg006
895;340;5;reg006
967;335;5;reg006
966;1047;8;reg035
87;581;7;reg036
816;1318;7;reg039
1543;1219;9;reg039
1554;1202;8;reg039
1583;1207;10;reg039
339;276;6;reg040
571;386;7;reg040
1212;1272;8;reg040
722;810;6;reg042
1072;1039;9;reg042
894;838;9;reg051
905;1125;7;reg051
140;216;8;reg052
173;403;8;reg052
650;377;8;reg052
451;121;6;reg009
758;393;6;reg009
244;786;6;reg013
275;689;7;reg013
285;756;7;reg013
288;666;6;reg013
295;699;7;reg013
314;688;7;reg013
316;645;6;reg013
326;749;6;reg013
331;794;6;reg013
330;820;7;reg013
324;725;6;reg013
339;685;8;reg013
346;676;5;reg013
363;704;6;reg013
370;565;7;reg013
359;796;6;reg013
376;776;5;reg013
378;684;6;reg013
426;623;6;reg013
441;583;8;reg013
448;622;5;reg013
446;491;7;reg013
450;737;7;reg013
453;578;6;reg013
461;624;7;reg013
451;768;5;reg013
472;455;7;reg013
468;494;7;reg013
474;874;7;reg013
481;640;5;reg013
501;566;6;reg013
492;648;7;reg013
496;669;5;reg013
500;530;6;reg013
505;548;8;reg013
499;602;5;reg013
497;798;7;reg013
516;518;7;reg013
515;485;6;reg013
513;504;6;reg013
515;678;6;reg013
539;486;5;reg013
533;548;7;reg013
533;587;6;reg013
541;457;6;reg013
548;535;6;reg013
546;775;6;reg013
554;447;8;reg013
556;688;7;reg013
557;461;5;reg013
557;560;8;reg013
563;643;7;reg013
574;560;7;reg013
579;512;6;reg013
579;521;7;reg013
582;692;7;reg013
583;435;6;reg013
584;459;7;reg013
588;536;7;reg013
593;575;6;reg013
586;652;6;reg013
598;879;6;reg013
603;500;7;reg013
607;459;7;reg013
617;398;7;reg013
619;536;5;reg013
620;489;6;reg013
624;567;6;reg013
633;476;6;reg013
640;602;8;reg013
637;494;8;reg013
643;543;5;reg013
640;640;6;reg013
651;569;7;reg013
655;492;5;reg013
652;524;7;reg013
657;542;6;reg013
669;442;7;reg013
674;495;7;reg013
674;526;6;reg013
683;560;7;reg013
681;479;6;reg013
696;539;6;reg013
684;524;5;reg013
695;571;7;reg013
682;630;6;reg013
698;500;5;reg013
693;560;5;reg013
710;475;6;reg013
713;526;7;reg013
712;558;5;reg013
716;461;8;reg013
702;589;5;reg013
728;462;8;reg013
732;416;5;reg013
721;573;8;reg013
721;627;6;reg013
739;542;7;reg013
752;423;7;reg013
736;835;7;reg013
747;499;7;reg013
747;603;5;reg013
755;540;5;reg013
773;604;6;reg013
776;941;7;reg013
786;506;6;reg013
791;621;5;reg013
795;573;7;reg013
797;545;8;reg013
812;520;7;reg013
817;495;6;reg013
813;583;5;reg013
820;755;7;reg013
828;627;6;reg013
834;581;7;reg013
841;565;6;reg013
823;880;7;reg013
859;583;5;reg013
857;535;6;reg013
865;561;6;reg013
855;939;6;reg013
870;858;7;reg013
883;531;7;reg013
885;570;6;reg013
912;564;5;reg013
916;592;7;reg013
923;762;6;reg013
928;513;5;reg013
911;924;6;reg013
925;820;7;reg013
924;850;5;reg013
939;554;6;reg013
938;736;7;reg013
967;626;6;reg013
969;740;7;reg013
976;606;6;reg013
990;636;6;reg013
998;605;7;reg013
1006;538;6;reg013
1013;614;6;reg013
1011;680;7;reg013
1004;804;7;reg013
1022;631;6;reg013
1044;499;8;reg013
1045;603;7;reg013
1055;507;6;reg013
1076;709;7;reg013
1115;816;6;reg013
1156;805;5;reg013
1165;747;7;reg013
1251;797;8;reg013
1243;788;8;reg013
1472;814;6;reg013
706;189;7;reg014
737;544;8;reg014
743;333;7;reg014
752;309;6;reg014
767;269;7;reg014
780;284;7;reg014
779;975;5;reg014
790;433;7;reg014
787;458;7;reg014
796;411;7;reg014
802;151;7;reg014
811;182;7;reg014
807;365;6;reg014
824;120;7;reg014
821;197;7;reg014
814;464;7;reg014
820;396;8;reg014
821;373;8;reg014
851;346;7;reg014
861;475;8;reg014
875;23;6;reg014
897;337;7;reg014
914;196;6;reg014
909;1297;6;reg014
1401;1201;7;reg014
70;728;10;reg021
452;933;9;reg021
489;1231;7;reg021
532;705;8;reg021
563;654;9;reg021
716;704;7;reg021
726;988;8;reg021
712;1178;8;reg021
746;757;9;reg021
800;601;7;reg021
854;631;9;reg021
854;834;9;reg021
863;834;8;reg021
886;816;8;reg021
962;706;8;reg021
956;1260;10;reg021
987;1139;8;reg021
1016;739;7;reg021
1040;705;8;reg021
1045;904;8;reg021
1077;522;9;reg021
1081;892;10;reg021
1091;896;7;reg021
1090;776;9;reg021
1086;964;8;reg021
1114;752;9;reg021
1149;781;9;reg021
1172;913;9;reg021
1190;780;8;reg021
1204;797;9;reg021
1198;647;9;reg021
1210;691;9;reg021
1261;959;9;reg021
1291;804;8;reg021
1307;824;8;reg021
1328;1161;8;reg021
1384;1089;8;reg021
1416;883;9;reg021
1461;797;9;reg021
1475;570;7;reg021
1447;1037;8;reg021
1500;1049;9;reg021
1509;763;7;reg021
1551;193;8;reg021
1569;894;8;reg021
1586;942;9;reg021
1679;617;7;reg021
1709;725;9;reg021
1762;643;10;reg021
1762;758;8;reg021
1761;632;7;reg021
1781;816;8;reg021
244;764;6;reg022
264;561;8;reg022
305;443;8;reg022
304;976;8;reg022
353;835;7;reg022
468;508;7;reg022
587;404;8;reg022
667;728;6;reg022
1006;905;6;reg022
1024;1062;7;reg022
1043;332;8;reg022
1036;964;6;reg022
1119;554;6;reg022
1140;999;6;reg022
1333;708;7;reg022
1352;893;7;reg022
1366;923;7;reg022
1378;592;7;reg022
1445;258;6;reg022
1468;652;7;reg022
1464;452;6;reg022
1513;751;7;reg022
1531;871;7;reg022
1544;292;6;reg022
1621;600;7;reg022
1638;342;7;reg022
1653;612;7;reg022
1686;496;6;reg022
1693;405;7;reg022
1767;1000;8;reg022
1770;965;6;reg022
662;198;7;reg029
1332;1016;6;reg029
1415;447;9;reg029
1426;588;8;reg029
1520;746;8;reg029
621;239;6;reg030
733;386;6;reg030
732;468;7;reg030
799;267;8;reg030
809;471;7;reg030
824;302;9;reg030
838;244;7;reg030
940;664;7;reg030
1125;746;6;reg030
1170;989;7;reg030
1204;866;8;reg030
1224;899;8;reg030
1220;912;9;reg030
1330;800;8;reg030
1338;1161;8;reg030
1363;1156;8;reg030
1649;1138;9;reg030
71;804;8;reg031
377;1258;9;reg031
506;946;9;reg045
534;982;6;reg045
544;985;6;reg045
570;1159;7;reg045
722;910;8;reg045
719;1041;7;reg045
776;890;7;reg045
1263;806;9;reg045
1489;733;6;reg045
1538;675;8;reg045
135;680;8;reg046
140;665;6;reg046
137;694;8;reg046
388;1289;8;reg046
1161;810;7;reg046
1397;1213;8;reg046
199;656;9;reg057
874;418;7;reg057
895;404;8;reg057
905;367;7;reg057
912;83;7;reg057
943;174;7;reg057
950;249;7;reg057
313;217;6;reg058
377;423;7;reg058
379;576;8;reg058
894;1331;7;reg058
1204;1287;8;reg058
1332;1072;7;reg058
1410;236;7;reg058
1146;464;7;reg003
1400;1339;8;reg003
1542;877;8;reg003
13;1133;7;reg007
108;755;7;reg007
120;888;6;reg007
191;879;6;reg007
217;1012;6;reg007
221;1069;6;reg007
223;1320;6;reg007
256;900;6;reg007
265;852;6;reg007
275;1009;7;reg007
342;1258;7;reg007
393;637;6;reg007
395;1248;6;reg007
411;1250;6;reg007
407;1399;5;reg007
459;740;5;reg007
493;760;5;reg007
487;782;6;reg007
482;1200;5;reg007
623;869;7;reg007
627;907;6;reg007
644;837;6;reg007
648;880;5;reg007
649;954;6;reg007
653;1017;7;reg007
709;762;5;reg007
704;803;7;reg007
719;926;7;reg007
732;900;7;reg007
740;962;5;reg007
780;670;7;reg007
824;711;6;reg007
852;475;7;reg007
848;841;7;reg007
955;858;6;reg007
1015;514;6;reg007
1027;590;7;reg007
1036;450;6;reg007
1133;823;5;reg007
1128;835;7;reg007
1146;823;5;reg007
1260;454;7;reg007
1316;188;7;reg007
1358;376;7;reg007
1373;411;7;reg007
1461;483;8;reg007
1462;989;7;reg007
1498;385;8;reg007
1548;501;7;reg007
1555;527;7;reg007
1618;761;7;reg007
1682;350;8;reg007
1690;553;7;reg007
1693;862;8;reg007
1703;991;8;reg007
1745;1090;7;reg007
1770;701;8;reg007
1800;703;8;reg007
276;957;7;reg008
287;870;8;reg008
450;333;7;reg008
802;1135;8;reg008
892;1266;8;reg008
994;760;7;reg008
1170;366;8;reg008
1173;789;7;reg008
1200;647;7;reg008
1222;374;8;reg008
1229;25;6;reg008
1198;1333;8;reg008
1227;565;6;reg008
1239;568;7;reg008
1345;871;7;reg008
1394;910;7;reg008
1389;1140;7;reg008
1457;1123;8;reg008
1572;1128;8;reg008
1689;668;8;reg008
1716;129;7;reg008
1354;263;8;reg020
65;441;6;reg038
538;1008;8;reg038
1390;881;6;reg038
510;325;9;reg043
1573;838;9;reg043
107;1147;6;reg053
122;1110;7;reg053
128;1120;7;reg053
140;1140;9;reg053
158;1122;6;reg053
197;1072;8;reg053
189;1252;7;reg053
195;1194;6;reg053
207;1093;9;reg053
207;1219;7;reg053
216;1173;7;reg053
231;1292;8;reg053
257;1086;8;reg053
273;1168;8;reg053
265;1128;7;reg053
273;1329;8;reg053
267;1181;9;reg053
284;1158;8;reg053
281;1282;9;reg053
295;1172;8;reg053
326;421;7;reg053
305;1083;9;reg053
316;1219;9;reg053
316;1228;6;reg053
302;1106;9;reg053
301;1327;7;reg053
317;1110;8;reg053
325;1252;8;reg053
337;1156;9;reg053
353;1209;7;reg053
345;1239;7;reg053
338;1104;9;reg053
359;637;7;reg053
346;1264;7;reg053
355;1419;8;reg053
361;1292;7;reg053
370;730;6;reg053
365;613;7;reg053
368;1223;8;reg053
374;1072;9;reg053
375;1267;8;reg053
387;1054;8;reg053
398;335;8;reg053
394;1251;9;reg053
411;350;8;reg053
405;476;9;reg053
406;727;8;reg053
422;361;8;reg053
397;1414;7;reg053
413;1132;9;reg053
428;466;7;reg053
420;1254;7;reg053
406;1295;9;reg053
410;1200;9;reg053
428;1315;8;reg053
422;1150;7;reg053
433;708;6;reg053
443;428;8;reg053
434;1082;7;reg053
416;1439;7;reg053
427;1124;6;reg053
443;1054;9;reg053
452;766;9;reg053
439;1210;9;reg053
454;459;8;reg053
453;1069;8;reg053
438;1439;9;reg053
444;1317;8;reg053
455;744;7;reg053
476;79;8;reg053
464;722;9;reg053
450;1036;8;reg053
482;699;7;reg053
454;1246;8;reg053
466;1432;8;reg053
478;709;9;reg053
463;1015;9;reg053
481;725;7;reg053
463;1213;8;reg053
473;1105;6;reg053
477;1015;9;reg053
495;340;8;reg053
486;1033;8;reg053
472;1263;7;reg053
480;1227;9;reg053
489;423;6;reg053
482;1244;9;reg053
495;617;7;reg053
490;1088;8;reg053
503;429;9;reg053
503;450;9;reg053
487;1288;9;reg053
508;338;9;reg053
489;1070;8;reg053
492;1164;9;reg053
500;781;8;reg053
519;402;6;reg053
518;484;8;reg053
521;369;8;reg053
494;1413;8;reg053
517;1171;7;reg053
505;1429;8;reg053
527;337;7;reg053
535;987;8;reg053
536;340;9;reg053
534;476;8;reg053
532;850;7;reg053
550;39;7;reg053
525;1009;7;reg053
533;966;8;reg053
534;862;6;reg053
526;1212;7;reg053
530;1264;8;reg053
543;857;8;reg053
553;421;8;reg053
538;1077;9;reg053
551;921;8;reg053
557;456;9;reg053
554;438;8;reg053
548;1356;7;reg053
549;944;8;reg053
553;704;8;reg053
561;356;7;reg053
553;989;9;reg053
559;1003;8;reg053
560;1410;9;reg053
573;986;9;reg053
577;492;8;reg053
570;1021;9;reg053
583;441;7;reg053
558;1229;8;reg053
555;1253;9;reg053
588;375;9;reg053
580;759;8;reg053
555;1387;7;reg053
571;919;9;reg053
562;1107;8;reg053
580;1031;9;reg053
575;1371;8;reg053
583;783;6;reg053
584;728;7;reg053
584;845;6;reg053
562;1172;9;reg053
598;540;7;reg053
582;1074;9;reg053
597;461;7;reg053
603;392;7;reg053
595;1010;8;reg053
582;1426;8;reg053
601;841;8;reg053
596;1165;8;reg053
589;931;8;reg053
598;1370;9;reg053
599;1033;9;reg053
588;1383;7;reg053
585;966;7;reg053
603;862;8;reg053
605;828;9;reg053
607;594;8;reg053
612;497;7;reg053
614;744;6;reg053
609;418;7;reg053
589;1313;6;reg053
606;991;9;reg053
607;909;7;reg053
603;1122;7;reg053
610;1178;7;reg053
614;1230;7;reg053
616;717;7;reg053
622;503;7;reg053
619;649;8;reg053
633;517;8;reg053
622;667;6;reg053
624;870;9;reg053
629;472;9;reg053
607;1259;8;reg053
608;1350;7;reg053
612;1383;7;reg053
623;1087;8;reg053
636;420;7;reg053
636;643;8;reg053
621;1329;7;reg053
647;539;7;reg053
626;1242;7;reg053
642;403;6;reg053
641;806;9;reg053
633;1272;9;reg053
652;433;8;reg053
642;832;9;reg053
630;1284;6;reg053
642;1116;7;reg053
628;1263;7;reg053
658;551;7;reg053
654;688;9;reg053
654;827;6;reg053
648;1054;8;reg053
653;787;8;reg053
644;1439;7;reg053
659;914;9;reg053
656;1225;7;reg053
665;764;8;reg053
672;578;8;reg053
643;1081;7;reg053
673;842;6;reg053
670;491;8;reg053
679;421;8;reg053
662;977;7;reg053
666;655;6;reg053
662;1065;9;reg053
667;1295;7;reg053
663;1140;6;reg053
676;1107;9;reg053
687;437;7;reg053
668;1435;9;reg053
676;1318;7;reg053
684;955;8;reg053
690;696;8;reg053
692;723;7;reg053
689;465;7;reg053
697;603;8;reg053
694;569;8;reg053
688;1006;8;reg053
687;929;7;reg053
702;580;8;reg053
689;1086;9;reg053
691;1343;7;reg053
690;1362;7;reg053
709;471;7;reg053
683;1138;9;reg053
686;1281;7;reg053
704;629;8;reg053
707;453;7;reg053
709;734;7;reg053
708;413;8;reg053
705;796;6;reg053
711;617;7;reg053
706;775;9;reg053
702;1043;7;reg053
708;649;8;reg053
725;466;7;reg053
706;1170;7;reg053
712;1212;8;reg053
