barcodes,xcoord,ycoord
RGBOGBGRRRORRB,5006.6,3019.8
ROOBOGBBRBBGRR,5182.7,2194
BRBROROGORRBGR,3258.8,5555.6
RGOGBRGROBGGBG,4633.1,4714.2
GGROBBGGRGGGBG,4655.2,3735
RRBGGOOBOROBBR,5169,2517.5
BBORBGBBORRBBR,1167.2,3429.9
OGRORBGGOOGROO,3060.3,4426
ORROBGROGORBGB,2366.9,3366.7
ORGBRGGGBOBRGG,2303.8,4236.2
BOGGBGBROGBORG,4831.1,2208.3
GGGOGRGORBOOGG,2453.4,4283.2
OOOOOBBBRRRBBO,2745.6,1850
ROGBBBOGBOOOGR,4069.4,2997.8
GRBOBGOBGGGOOB,4854.4,3458.5
BRBORRBOGRRBBB,3248.2,295.02
RGBBBBBRBBBBBB,2329.3,5411.5
GBGOOBRGGGBRRO,5200.1,2208.3
RGBGRRGROBOOBO,1361.7,3082.2
GRBOGGORORGOOO,2455.9,4299.5
RGOBGBGOGBBOBG,4896,2194.4
GOGGGRBGBRROGB,2820.4,4373
BBBGROGBOOGOBO,1864,4822.9
OGOOROBGORRBBG,2277.9,4301.2
RGOBOBRBROBOBB,4306,2488.4
RGBOBOGRBRRBRR,1021,2848.4
BGROOBORORBGGG,4667.6,3668.1
OOBOBRGRBOGORB,2931.9,3476.5
BBBOOBOOORBOOO,4083,3719.8
OOBBBBBRBBBBBB,5493.7,2036.1
OOGRGGRBRBBRRR,1921.2,5005
ORROGRBRBRRGRO,5965.9,3385.5
RGGGOBGGBOOOOB,5007.8,2214.2
RORRBGORORBGBO,4145.1,2567.8
GBROGRBGOOGRBO,1922.8,5085.7
RBOGGOBRBGOGOB,4576.5,3832.7
OOGOGOGGGRBOBR,4437.3,4578.4
BGRGGBGGBGGBOO,4871.1,2171
BBGOOBGOGBGGBB,2777.5,4340.8
BOOOBBGGROBGBB,4910.6,3273.6
BGOOBBOBRRRGRR,4096.6,4244
RRBRGBGROOBBRO,5175.1,2325.3
GOGOORRGGOBGBO,1715,4553.5
BRRBBBOBGOOBOO,3766.1,3225.4
BOBOORGRGBBORO,4841,2238.4
ORRBOBOOGBOBGO,4956.3,4602.7
GRBRGOORBBBBOB,4684.2,4774.3
ORROBRGOORRRBO,1911.4,4068
RGOOOBOGGOGOBO,3766.4,3239.9
OGGBBRGRGRROGO,3084.3,3547.9
BBGRBBOGORBBOR,3961,4328.7
RBGOGBRGOBGGGB,3987.1,3132.1
BORRBGBGOOGRBB,2780.8,3392.8
GGRRBGBOROBORO,4234.8,4159.8
BRGBOGRGBOOOGG,5012.2,2978.9
BGBRBGGGGOROOB,1575.6,3279.7
BOOROGROGOBOOO,2768.5,5211.2
OGROBBGOORGRBB,4807.5,2179.2
OOGGGRGOORBRBB,2792.7,4341.1
ROROGBGOGBGRBR,4830.8,3415.3
RGBGOBOGRORORR,2547.7,3472.4
OOBBORGOORBGGR,3612.3,4952.2
OGORGGRBOROBBB,3842.4,2651.7
RGBGOGRRGOGBOO,4513.5,3944.6
ORBGGGOORRROOO,4155.6,2582.7
BOOOBROOGBOOBO,2557.7,5044.4
GGBGGOBGRROOOG,4778.4,4982.4
BBGROGBROBRGRR,2586.2,3432.9
GGRBOGOGRGOGGB,1873.9,4981.4
RBRBBORRBORORO,2882.8,4354.4
OORGOOOGBOBOGG,1012.5,3512.5
GROOOOGGRBOGRR,4722.1,2191.3
OGGOOBBBOROOOG,4339.4,2553.9
OGGRRBBGBOBORG,2766.5,4329.7
GGRGGORRBBBOBB,1825.2,4990.2
RROOOBBRBROGRR,2757.3,4315.5
ORRBROBBRBGRRB,3079.8,275.77
BGOGGGGRGRBOOB,1917.3,4678
GGROGOOGORROOO,4585.6,2338.6
GGGGOBOGRRBOOR,1925,5035.5
BBOGBROGOBBBOR,3468,3068
GGBGOGBGOBBOBG,872.94,3538.1
BBOGOBBBRBORGO,3250.3,5510.9
BROGBGRGBRBGGG,4606.1,3786.4
ORGRBGBGOBRBGO,552.98,2821
BOBOBBBGBGBOGO,1253,3584.4
BGRRBROBRBBOBB,2317.6,4206.4
GOOORGGGBGGRGO,4751,3559.4
RGRGGRBROOBGRO,1845.4,4897.8
OORBBBGGROROBO,4251.7,2576.6
BORRROGOGBBGGO,1981.5,4790.5
OBBBGGBRBBBRRO,1815.4,4893.9
ORORRBRROBBRRB,4144,4204.8
ORGBGROORBGOOG,3887.5,5467.7
RRBOBOGOGOGGOG,4858.5,2173.2
OBBOOBGRRORRRB,1902.8,4763.3
BOBOOBRGBRROGG,3765.5,331.47
BGGBBBOBOGBOGR,4977.1,3207.4
RRBBGOGRBBBRBG,5112.1,2199.7
RGGGGBBRROBGBO,2069.7,4773.2
GGBBORGROBRGOO,1989.8,4724.1
GGOGGGRGRGBOGO,1304.1,3549.9
OBBOGRBRORRORO,3328.7,3471.2
BRBRGOGOOROOBO,4497.7,3966
BRGRRBRBROOBGR,1621.7,3155.6
RGOOBBGGORROBR,4046,3001.8
RBROBRBGBORRGO,2724.2,3231.7
BRORGGOGGRRBGB,1264.9,3545.9
BOBOOBRRGROBGB,4710.4,3651.8
OOBBBGRGORROBO,1857.3,4771.8
RRBGRRROGBRRBG,1294.5,3143.6
RGGGGGOGOGROGR,4885.6,3328.9
RORBBROGRGRGRR,1807.1,4413.7
BRROORRGOBGRBO,1794.8,4709.9
RGBOORRRROOGBR,2674.4,4307.2
ORBGBRRGBOOOOO,3094.3,3535
RBRBRRGBRRRBBO,2071.6,5015.2
BBGGRGRROOBORG,3537.1,3476.8
OBROOGOGBRGBBO,3505.4,4415.1
BGBROOBROOGGGR,1284.1,3606.6
GGROGROROOOGRO,1678.7,1871.1
RBGOGBRRBRROOO,3545.8,3449
OOBRGOOOGBOOBB,3205.1,4466.5
GRGRBBGRRRBOBB,1778.9,3816.8
BOOBGROBRRRGOG,1799.2,4484.5
BROGORGROBRRRR,2600.1,3429.1
BORBGGOGGRGROB,2863.6,5290.5
BGGBGGGORRGOGB,4124.9,2585.8
GOORGGBOORBOOO,3974.7,2724.9
GOGOBGBRGBRGRR,3859.7,3211.9
GBOGBBBGRRBRRO,3153.1,3458.7
RGGGBBGGBRBGBO,4927.9,2162.6
GOROOGOOBGGGBG,2876.8,4337.9
ROBOGGGRBOORRG,5180.7,2340.5
OOROGBGRRORORO,2104.8,4898.8
OGOGBBOBORGRRR,4236.7,2572.7
BBGOOOGRBBBOBB,1638.8,3175.9
BOGBBOOGGBOGBB,4642.4,3682.1
OOORGBGRBBBOBO,1809.2,4996.5
OBOOORRBGOGGBO,2420.1,3461.5
RGBBRRBGGRBGOO,4659.2,3680.3
GGBOBRRRROROOO,2805.1,1164.7
OGGRORBBBGBOGR,1823.3,4651
OGRGROGORBGRBB,1149.7,4962.4
GROBOBBOOOBBGO,2814.5,4358.7
BORGBBOGGRBGOG,4524.9,2419.2
GOGRROGBRRROGR,2641,4315.5
RGBGOBOROGRRRR,3072.2,261.17
OGGGRORGROGBBB,991.65,2557.4
BBORNBROOOGOOR,1935.6,4651.8
BOGGRRBGGORROG,4287.2,4157.6
RGOOGGRRRRGBRR,3385.4,3100.1
BRGOOROGRBGGGR,2360.3,3507.3
OOBRRRBGBORGOG,1630.7,3688.1
GOBGBBBRBBGRRB,3629.5,3453.4
GBRRRRGRBBBBRR,1812.5,4378.8
RROROGBRBOBORR,3739,4375.5
BBOOBBRGOOOOOO,4293.3,2540.4
OGBRBRBBGBBRRR,4981.5,2115.9
ORGGRRROGRROBR,2022.8,4207.3
OOGRGOGROGRGRR,3821.6,3013.4
OBRRBBRBOGOROR,2242.3,3555.7
BORROGBROBRGRG,1499.1,3077.4
GGRGGGGGOOROOG,3241.9,4420.6
OGROOOOBBGRGBR,1500.1,3307.9
OOGBGGOORGRBGB,4377.7,5062.4
RGBOOGOBRRGBOR,3284.5,4426.1
RRGGBGBBRRGOBO,2465.5,3275
GRBOGGGROOGBRO,1900.9,4872.7
BRGRORROGOGGBO,3981.8,2822.6
OGORROBBROBGGO,1446.2,4447.4
RROGOBGOGOBOGG,996.31,3149.2
BOGGRGBRGRRGRR,5161.2,2532.1
GBOBGBROOOROOB,2245.6,4252.1
OGBRGGOGBORBGR,2341,3432.1
OOBOOOOOGRROOB,5146.3,2269.2
GGBBGGOGRBROGR,4475.7,3946.4
GGBGGGOGOBOGRG,1968.4,4156.6
GOGBBRROGGBROO,1032.8,3549.6
BRBORGRGRORGGO,1890.9,4309.7
BORBRBROOGBOOR,4159.4,2650.5
OGRGGBRBRBBOOB,4424.5,2434.8
OOOROOBOBRBROG,1533.6,4324.2
RGGGOBOGBGRGOG,3228.5,3493
BORGBBOGBOBBBG,2325.1,3440.3
BROBRRGGOBGBRR,3068.5,3221.9
RGOBOBRROGRORB,4901.5,2156.3
RBORGRGGRBGOOO,1979.5,4625.8
BRBGBOBRBBBBBB,4105.8,4712
GBOGBOBGGOORBB,1884.8,4674.3
GRGOGOGGBBRBBG,1484.4,3161.6
BRBGOGGBORBOBO,1340.4,3587.3
GGBROROGBGRRRO,2533.4,4302.5
GOOBRBRBRBGROG,897.85,3553
BRROGROOGOOOBO,2091,5153.7
BGBGGRGRGOOGRR,3225.9,3199.5
BBBOBOORBBRORR,3846.3,2676.8
OOOBOGRBOGGOOG,4472.2,4700.6
GGGRBRRRROGBRR,4991,2995.8
BOBOOROOBBRRRR,2796.4,4358.6
BOOOGGBBOORRBG,2533.9,3477.3
OGORRGRROBGOOR,3001.4,456.06
OGORBBGGRORBOB,2547.4,3425.3
ORRGOGOGBGROBG,1791.4,4852.6
BBBROGGRRRBBRO,1515.8,3165
BGGOBBROGROOGB,3780.9,2973.8
OOBBOGOOBOROOB,2663.5,3388.3
BBOBBRGROOBOBB,1166.9,3290.6
OBOBBOGOGORBRR,3382.5,4436.9
RGRGBROGOBOROB,2096.5,5023
BRBGBBOGRGBBGG,4435.1,2470.2
GOROBBRRBORGRR,1823.9,5083.6
OBOOGRORORRORO,2383,4280.6
BGRROGGROBBOGR,1931.1,4529.2
RORRBGOGGRBOBB,3047.8,3509.5
OBBROORGGOBBGO,4617.9,3812.8
OBGRBBROGROOBG,2093,4200.2
OBBGOBOBRBBBBG,5244.9,2433.6
OOBRBGBOOOBBRR,2741.3,4319.7
RGOOBRRROOORRO,2054.2,6013.2
GGOBBGOGOORGOO,4975.1,2995.8
OOBORORBROROGR,1551.5,3420.7
BRGOOBGBGGBGBB,5186.1,2422.8
BGORBBOBGGOOBR,2990.9,373.19
OBBOBGGORRBGRR,2291,3507.2
OOGROGGGRBGBBB,1749.7,2535.3
OBRRRBGRBRORRG,4530.5,2403.7
GGRBROOGOGROGB,4340.9,2538.2
GGOOOBRBGGGOBR,3773,4450.4
GGOOBBOGOOBOBO,2177.6,4989.7
GGBGRBBORBOGOO,1893.3,4999.1
OBOOOGOGBBGGGR,1753.8,3289.7
GBROGBRRBBBORO,3434,4475.9
RBRBBBGGOBBORG,1798.1,4895.6
BGOGBRBGBOBBGG,1233,3492.6
GBOOBGOROGGRRR,1719.6,4374.4
GOGOOGBGROORBG,4532.9,2312.6
GBOGORBBORRBBB,1929,4967.3
GBROORGBROBRBR,2487.6,3322.2
BGOGBOOGOGRRRB,2368.9,4275.8
OBGNOBBGOOGGBR,2604.3,3401.5
BBGOOGOGROGROG,1907.7,5027.6
GOGORBRBRGGGOG,2101.1,5140.4
OGOBBGBGOOOROR,2738,3282
OGBGGBGGORROGR,4354.3,2194.3
RGOBBGBROBRGRB,1723.8,3723.7
GBGBORBBORBRBG,1840.8,4458.1
BOOGBBOGGOOGBO,2584.5,3242.1
ORORGRBGOOGBOO,4014.3,3018.7
GOORGRGROGGRRG,1860.9,4954.2
BGBOGBOGBOBGOG,2958.5,3487.8
RRBGBROOOOBOGO,4889.8,3287.8
BBOOGBGBOBRROG,3492.8,4448.4
GGBOGGRBBRBOGR,2682.6,284.95
GOOBBGGRBBBOOG,2092.7,5105.2
GORRRORGORGRGB,4344,4116.7
BBBGGBOGRBGBGB,4875.9,2217.2
RBRBORBGBBOBGG,3806.5,2759.2
GGBGBGOGGRBRRB,3288.2,3164.2
ORBROOOOORBGGO,2939.4,432.65
BRGOBBBBRBBRGO,2712,4310.9
RRBBRBBROOBOBG,3404.6,4482
RRGOOBRORORGOO,3912.3,2930.3
BBGGGROBRRRGOG,3199.5,3503.8
RBGROOGRRRBGRO,1472.7,3700.3
OOGGBBOOOGOOOO,1379.2,3332.8
BGROBOGOGOBRBR,3866,2932.4
GBGBGRBROOBBRB,2834.4,4380.4
ORROOGGOGRBRRO,2385.1,2272.3
BRRBBRRGOORGOO,3523.2,3398.8
OBGGBROGGOBGBO,3048.6,1260.3
OOBRORBROOGRBR,1375.2,3347.5
RGBGGBRBROOBBG,2892.7,4335.7
BOOBBBBORBRBGR,1399.6,3676.6
GBGRORGRBBOORR,1771,4756.2
OGROGRGGROGOGR,3690.9,2887.2
OBOGRRRRROOBGO,2594,446.75
RRBOROGBROGROO,4632.6,3789
BBNGRROOGBOBBR,2478.8,1223.6
ORBOBGBGORRBBR,4373.3,3982.5
OGOOGOBGGOOGGG,1896.2,4817.4
RGBGORBGRRGGOG,3654,3433.3
OROGBBOBRRROBO,2662.6,3270.8
BGGBORRBOGBOOR,3043.4,928.02
BOOBGBOGRRBRGB,2236.9,3495.3
RORGRBGRORORRG,5315.5,3868.4
RORRBGOBGOGGGG,2231.8,3416.9
OOGGGBRRBGRRRO,1282.4,3501.3
GBRGGBGORBBOGO,3005.3,647.89
BRORBBRRBRBGRR,1320.6,4730
GRGOBGGOOGGRGO,5133.8,2325.2
ORBOBROGOOOGBR,4903,2224.3
BOOOGRGRRORRRB,1862.8,4389.6
BGOOBROOBOGOOO,4354.9,2453.7
BBOBGGOGGOGOBO,1733.2,3829.3
ORGGOBRGGRBGOG,4945.4,3235.9
GROBBBGBROBROG,4310.1,2527.3
BORRGRGOOOORBO,4665.4,2328.7
RBBGBRBRRBGBBB,5201.5,2419.2
OBBGOBGRBRROBO,1864.7,4806.5
OBOROGGGGOORGO,2987.1,1425.5
GOROBOBGBOGBBR,1302.5,3086.1
RGOOOGOGGRBGBB,5178.4,2529.3
GGOBRGBGGRBORO,3786.7,3245.3
BRBGBGRBRBOOGR,5267,3852.5
RBRGGOBRBRRRGB,2943.6,3465.3
ORRORRRBRRRBGB,2388.8,3520.1
ROROBBOGOBBORO,5181.1,2556
GOBBBGGOGBOBOO,4845,3448.1
RBROGBRORRBBBR,1972.8,4751.6
BRBRBOOOBOROOG,1965.1,5081.3
RBRRBORRBROGGR,1358.7,3667.9
OORBORGBROOBOB,2009.3,4199.8
OOOGOBBBGGGRBO,2248.6,5731.9
BGGOOBBBORRBBO,2388.1,5976.9
OROBOBGOOBROBO,2084.4,298.71
RGBOGGOROOORRO,2354.7,1514.9
BBGRRRBGOOOBBG,5063.4,3669.2
GGBRGBOBGBBOGR,1371.6,3967
GGBBRGOGOOBRBR,2597,2814.4
