"","col","row","sample_id","sizeFactor","cluster.init","spatial.cluster"
"Gene_1",3.83826123885144,-3.42984697647654,"sample01",0.813029844091431,1,1
"Gene_2",5.01999487109895,1.38707624695998,"sample01",1.11379582337342,2,4
"Gene_3",6.19320886090538,-3.48221102465897,"sample01",1.07317433253515,3,2
"Gene_4",1.12026134928235,-0.235559664135616,"sample01",0.813029844091431,4,1
"Gene_5",-0.728750084848924,-1.12444517755903,"sample01",1.11379582337342,2,4
"Gene_6",-2.58659958620745,0.850892513040707,"sample01",1.07317433253515,3,2
"Gene_7",1.91820495893378,-0.297513596745443,"sample01",0.813029844091431,4,1
"Gene_8",1.48683556036463,2.76052302912583,"sample01",1.11379582337342,3,3
"Gene_9",-5.3752030878173,5.7747813835237,"sample01",1.07317433253515,3,2
"Gene_10",-2.32341322810318,-9.33910939113623,"sample01",0.813029844091431,4,1
"Gene_11",0.96387052200895,-9.47842513030915,"sample01",1.11379582337342,2,4
"Gene_12",8.35577377057216,2.31178712898999,"sample01",1.07317433253515,3,2
"Gene_13",-3.93244081685683,-3.37489959934103,"sample01",0.813029844091431,4,1
"Gene_14",-0.538960266650331,-6.14040159947887,"sample01",1.11379582337342,2,4
"Gene_15",2.23260486704729,8.69238329033001,"sample01",1.07317433253515,2,2
"Gene_16",3.0911080868612,9.10875176285884,"sample01",0.813029844091431,4,1
"Gene_17",2.27462105953138,-8.71312510412134,"sample01",1.11379582337342,2,4
"Gene_18",-5.51050186076704,-6.56048378818956,"sample01",1.07317433253515,2,2
"Gene_19",-0.796603580701521,0.74493299503157,"sample01",0.813029844091431,1,1
"Gene_20",-3.27930186261623,5.40940120970081,"sample01",1.11379582337342,3,3
"Gene_21",-3.64345183939207,1.1657614627189,"sample01",1.07317433253515,2,2
"Gene_22",-7.25021609873811,-2.52604963794142,"sample01",0.813029844091431,4,1
"Gene_23",8.66644194871468,-4.88740486882873,"sample01",1.11379582337342,3,4
"Gene_24",5.55675625776609,0.754381757651893,"sample01",1.07317433253515,3,2
"Gene_25",-8.52941459292588,-2.52306940656884,"sample01",0.813029844091431,4,1
"Gene_26",-1.32207589465761,4.67570928900802,"sample01",1.11379582337342,3,3
"Gene_27",4.36245751380068,-3.97470550817127,"sample01",1.07317433253515,3,2
"Gene_28",0.864821037018649,-8.64230546957456,"sample01",0.813029844091431,4,1
"Gene_29",8.35219314561214,2.44030691389047,"sample01",1.11379582337342,2,4
"Gene_30",2.10313058503362,5.54822661627722,"sample01",1.07317433253515,3,2
"Gene_31",-3.79812693618699,-2.82178440158131,"sample01",0.813029844091431,4,1
"Gene_32",0.505206942660223,4.01866220453396,"sample01",1.11379582337342,3,3
"Gene_33",3.20372198516546,-5.37346025123221,"sample01",1.07317433253515,3,2
"Gene_34",-8.48655439850364,3.94281447316024,"sample01",0.813029844091431,1,1
"Gene_35",5.63340440953678,6.52247293139864,"sample01",1.11379582337342,3,3
"Gene_36",-5.22773395100357,-4.31885784144134,"sample01",1.07317433253515,3,2
"Gene_37",7.21590529742868,4.06271100176434,"sample01",0.813029844091431,4,1
"Gene_38",3.34441536261867,-6.93833332565186,"sample01",1.11379582337342,3,3
"Gene_39",3.32830219134901,5.2055102436596,"sample01",1.07317433253515,3,2
