"","x","y","coords.x","coords.y","CellType","ImageNb","aggregatedNeighbors.type1","aggregatedNeighbors.type2","clustered_neighbors"
"1",-11.2354129668478,0.984711819921893,-11.2354129668478,0.984711819921893,"type1","1",1,0,"3"
"2",-14.4514213399103,1.46686133155576,-14.4514213399103,1.46686133155576,"type1","1",1,0,"3"
"3",-7.26733693473703,3.04778664289823,-7.26733693473703,3.04778664289823,"type1","1",1,0,"3"
"4",-10.1816330393526,2.27813523290587,-10.1816330393526,2.27813523290587,"type1","1",1,0,"3"
"5",-7.10047281017001,8.13566280041807,-7.10047281017001,8.13566280041807,"type1","1",1,0,"3"
"6",-19.9736311617494,7.74480433174248,-19.9736311617494,7.74480433174248,"type1","1",1,0,"3"
"7",-14.5126492118403,8.52406281860168,-14.5126492118403,8.52406281860168,"type1","1",1,0,"3"
"8",-4.42558478657633,0.183056263928213,-4.42558478657633,0.183056263928213,"type1","1",1,0,"3"
"9",-13.1466373845993,4.37048641731571,-13.1466373845993,4.37048641731571,"type1","1",1,0,"3"
"10",-9.62412014533478,6.52765461740429,-9.62412014533478,6.52765461740429,"type1","1",1,0,"3"
"11",-5.15143528154311,9.07611624888246,-5.15143528154311,9.07611624888246,"type1","1",1,0,"3"
"12",-0.846822364539108,3.02207888557016,-0.846822364539108,3.02207888557016,"type1","1",1,0,"3"
"13",-0.480928668211757,1.6425740528293,-0.480928668211757,1.6425740528293,"type1","1",1,0,"3"
"14",-2.88303011513483,4.22744737076217,-2.88303011513483,4.22744737076217,"type1","1",1,0,"3"
"15",-8.64216320931591,2.08722724255609,-8.64216320931591,2.08722724255609,"type1","1",1,0,"3"
"16",-5.28168434743808,8.29922873296466,-5.28168434743808,8.29922873296466,"type1","1",1,0,"3"
"17",-18.5728729625971,9.84638700227692,-18.5728729625971,9.84638700227692,"type1","1",1,0,"3"
"18",-6.05685215188431,7.7914485513374,-6.05685215188431,7.7914485513374,"type1","1",1,0,"3"
"19",-10.7288129418256,3.57295481156708,-10.7288129418256,3.57295481156708,"type1","1",1,0,"3"
"20",-13.3872425445252,9.98047192851253,-13.3872425445252,9.98047192851253,"type1","1",1,0,"3"
