x,y,phenotype,niche,A,B,C,D,patient,A,B,C,D
59.153640034209474,-5.239278117781474,A,A,1,0,0,0,1,1,0,0,0
-8.409599782358875,5.696456146698552,A,A,1,0,0,0,1,1,0,0,0
30.42768821001445,50.47491734750808,A,A,1,0,0,0,1,1,0,0,0
44.59327238710267,-39.33723578694445,A,A,1,0,0,0,1,1,0,0,0
-29.181375447239773,-19.87785356488166,A,A,1,0,0,0,1,1,0,0,0
18.17398652617093,36.10163525163564,A,A,1,0,0,0,1,1,0,0,0
18.96101809964803,13.416766762458778,A,A,1,0,0,0,1,1,0,0,0
-39.513447636856014,-6.706524225760511,A,A,1,0,0,0,1,1,0,0,0
27.965034534028906,30.88155368853498,A,A,1,0,0,0,1,1,0,0,0
59.18177807491048,-25.842583178267496,A,A,1,0,0,0,1,1,0,0,0
6.244571223468611,26.98606146417657,A,A,1,0,0,0,1,1,0,0,0
3.3418157048217623,39.83712436251017,A,A,1,0,0,0,1,1,0,0,0
0.5212230531176587,-16.487536402273705,A,A,1,0,0,0,1,1,0,0,0
10.061597371969832,-10.848306750140765,A,A,1,0,0,0,1,1,0,0,0
-3.5410390331384107,48.99914090485814,A,A,1,0,0,0,1,1,0,0,0
-21.754316591828623,30.098277732027,A,A,1,0,0,0,1,1,0,0,0
46.05172786376116,25.90837358974832,A,A,1,0,0,0,1,1,0,0,0
-8.314051245139918,27.820351794986607,A,A,1,0,0,0,1,1,0,0,0
-0.8010049273213866,19.190561441256605,A,A,1,0,0,0,1,1,0,0,0
17.5942097038757,-39.862900296580094,A,A,1,0,0,0,1,1,0,0,0
15.071840315259893,-2.4101101738633304,A,A,1,0,0,0,1,1,0,0,0
4.396399183911328,-9.62910166262366,A,A,1,0,0,0,1,1,0,0,0
47.98652973482058,45.26919280237952,A,A,1,0,0,0,1,1,0,0,0
51.868968111062486,19.0979839585819,A,A,1,0,0,0,1,1,0,0,0
-7.516680558401852,10.848611279090342,A,A,1,0,0,0,1,1,0,0,0
10.15894098200078,47.40880254479471,A,A,1,0,0,0,1,1,0,0,0
37.11857007015574,12.61064677341382,A,A,1,0,0,0,1,1,0,0,0
-32.302033485013204,6.693335942250499,A,A,1,0,0,0,1,1,0,0,0
29.664870665064853,26.00013808180499,A,A,1,0,0,0,1,1,0,0,0
-11.468406772325388,-8.57856966626732,A,A,1,0,0,0,1,1,0,0,0
57.61652088085097,-39.66944490512857,A,A,1,0,0,0,1,1,0,0,0
