x,y,phenotype,niche,type1,type2,patient,1,2
-11.235412966847832,0.9847118199218928,type1,1,1,0,1,1,0
-14.451421339910324,1.4668613315557566,type1,1,1,0,1,1,0
-7.267336934737035,3.0477866428982336,type1,1,1,0,1,1,0
-10.181633039352604,2.278135232905869,type1,1,1,0,1,1,0
-7.100472810170007,8.135662800418071,type1,1,1,0,1,1,0
-19.973631161749434,7.7448043317424755,type1,1,1,0,1,1,0
-14.512649211840316,8.524062818601676,type1,1,1,0,1,1,0
-4.425584786576328,0.1830562639282129,type1,1,1,0,1,1,0
-13.146637384599266,4.370486417315712,type1,1,1,0,1,1,0
-9.624120145334782,6.527654617404295,type1,1,1,0,1,1,0
-5.151435281543112,9.076116248882457,type1,1,1,0,1,1,0
-0.8468223645391078,3.0220788855701617,type1,1,1,0,1,1,0
-0.4809286682117566,1.6425740528292976,type1,1,1,0,1,1,0
-2.883030115134829,4.227447370762169,type1,1,1,0,1,1,0
-8.64216320931591,2.087227242556091,type1,1,1,0,1,1,0
-5.281684347438077,8.299228732964657,type1,1,1,0,1,1,0
-18.57287296259709,9.846387002276922,type1,1,1,0,1,1,0
-6.056852151884309,7.791448551337401,type1,1,1,0,1,1,0
-10.72881294182556,3.5729548115670795,type1,1,1,0,1,1,0
-13.387242544525186,9.980471928512529,type1,1,1,0,1,1,0
-12.405603536228467,2.1448726347603886,type1,1,1,0,1,1,0
-17.75129706161209,9.935936224232556,type1,1,1,0,1,1,0
-18.320797760134845,9.05661733095043,type1,1,1,0,1,1,0
-1.132131116984432,0.5688824544371163,type1,1,1,0,1,1,0
-19.861661662968874,5.536939111621751,type1,1,1,0,1,1,0
-10.25130603319744,0.4706452160425523,type1,1,1,0,1,1,0
-10.219031813170202,7.730524140105341,type1,1,1,0,1,1,0
-1.437133152951649,7.147861211031613,type1,1,1,0,1,1,0
-8.19826230373889,1.329042783972959,type1,1,1,0,1,1,0
-4.14554541893329,5.362274904657212,type1,1,1,0,1,1,0
-9.451261690518932,1.5653982549606904,type1,1,1,0,1,1,0
-14.3498224955175,5.033953924467575,type1,1,1,0,1,1,0
-13.166996363693952,1.1615711620626612,type1,1,1,0,1,1,0
-11.450817216563644,5.234219396701323,type1,1,1,0,1,1,0
-11.573151879613956,3.5875485729521603,type1,1,1,0,1,1,0
-13.209282727695255,3.5117782895245773,type1,1,1,0,1,1,0
-7.797795712386842,6.350717626629998,type1,1,1,0,1,1,0
-9.009203514383795,4.292814781288668,type1,1,1,0,1,1,0
-19.975131210139228,3.0544386971653426,type1,1,1,0,1,1,0
-0.9828127428487932,9.8777074124527,type1,1,1,0,1,1,0
-14.845725755794488,4.294889563284404,type1,1,1,0,1,1,0
-13.708132924326906,5.599084540271928,type1,1,1,0,1,1,0
-8.005769462336456,6.309407604152423,type1,1,1,0,1,1,0
-12.240721811062308,8.144129471114281,type1,1,1,0,1,1,0
-7.448644666165485,7.521487539290223,type1,1,1,0,1,1,0
-9.614464413264646,8.67396011843282,type1,1,1,0,1,1,0
-14.030821448437193,0.6745057661229714,type1,1,1,0,1,1,0
-16.650332944020786,6.220747637324982,type1,1,1,0,1,1,0
-14.5877009115896,4.493728795799861,type1,1,1,0,1,1,0
-13.00589626681506,2.942124377442929,type1,1,1,0,1,1,0
-18.318995039570737,3.992147936600469,type1,1,1,0,1,1,0
-2.5965914702447748,6.51112243674164,type1,1,1,0,1,1,0
-2.5688637280554474,5.625683847166659,type1,1,1,0,1,1,0
-18.41634850080688,6.400204802144978,type1,1,1,0,1,1,0
-17.228525700607634,3.925728260710704,type1,1,1,0,1,1,0
-13.089943043264558,5.311061426044892,type1,1,1,0,1,1,0
-3.347801586189302,9.211110746188965,type1,1,1,0,1,1,0
-2.18223984960635,2.836953496064484,type1,1,1,0,1,1,0
-4.4455893055245,7.218434560037937,type1,1,1,0,1,1,0
-13.468742395181936,6.534345928763436,type1,1,1,0,1,1,0
-17.91764598074175,5.9570931791736745,type1,1,1,0,1,1,0
